"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Jason Nestor Vincent D'Souza","Employees/Designated Employees","Equity Shares","3500","0",,"1500","2536539","Pledge Revoke","Equity Shares","3500","0","08-Aug-2025","08-Aug-2025","11-Aug-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Aug-2025 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185865_1508603_11082025060453_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Nikhil Ashokkumar Chopra","Director","Equity Shares","123971","0.08",,"73971","125137732","Sell","Equity Shares","50000","0.03","08-Aug-2025","08-Aug-2025","11-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185865_1508603_11082025060453_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Jason Nestor Vincent D'Souza","Employees/Designated Employees","Equity Shares","3500","0",,"1500","2536539","Sell","Equity Shares","2000","0","08-Aug-2025","08-Aug-2025","11-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185865_1508603_11082025060453_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Narayan Prasad Saraf","Key Managerial Personnel","Equity Shares","2030","0",,"1772","3001824","Pledge Revoke","Equity Shares","2030","0","08-Aug-2025","08-Aug-2025","11-Aug-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Aug-2025 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185865_1508603_11082025060453_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Nikhil Ashokkumar Chopra","Director","Equity Shares","123971","0.08",,"73971","125137732","Pledge Revoke","Equity Shares","123971","0.08","08-Aug-2025","08-Aug-2025","11-Aug-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Aug-2025 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185865_1508603_11082025060453_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Narayan Prasad Saraf","Key Managerial Personnel","Equity Shares","2030","0",,"1772","3001824","Sell","Equity Shares","258","0","08-Aug-2025","08-Aug-2025","11-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185865_1508603_11082025060453_WEB.xml"
"WELSPUNLIV","Welspun Living Limited","7(2)","Viswanathan Hariharan Kollengode","Other","Equity Shares","150000","0.02",,"150000","17087822","Sell","Equity Shares","Nil","0","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185863_1508562_11082025054835_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","6162200","0.25",,"31946","31946","Sell","Equity Shares","6130254","0.25","08-Aug-2025","08-Aug-2025","08-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","6191727","0.25",,"29527","30853609","Sell","Equity Shares","6162200","0.25","08-Aug-2025","08-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","5820151","0.24",,"251","251","Sell","Equity Shares","5819900","0.24","06-Aug-2025","06-Aug-2025","08-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6215854","0.25",,"24127","25198695","Sell","Equity Shares","6191727","0.25","08-Aug-2025","08-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6219575","0.25",,"1991","1991","Sell","Equity Shares","6217584","0.25","07-Aug-2025","07-Aug-2025","08-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","5820545","0.24",,"136","143317","Sell","Equity Shares","5820409","0.24","06-Aug-2025","06-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","5820409","0.24",,"258","258","Sell","Equity Shares","5820151","0.24","06-Aug-2025","06-Aug-2025","08-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","5819900","0.24",,"400000","422297484","Buy","Equity Shares","6219900","0.25","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6219900","0.25",,"325","342907","Sell","Equity Shares","6219575","0.25","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c","Other","Equity Shares","6217584","0.25",,"1730","1730","Sell","Equity Shares","6215854","0.25","07-Aug-2025","07-Aug-2025","08-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","11-Aug-2025 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185861_1508551_11082025054634_WEB.xml"
"VIMTALABS","Vimta Labs Limited","7(2)","Harriman Vungal","Promoters","Equity Shares","3095636","6.96",,"10000","6492500","Sell","Equity Shares","3085636","6.93","07-Aug-2025","07-Aug-2025","11-Aug-2025","Gift","-","-","0","0","0","0","NA","-","11-Aug-2025 17:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185859_1508542_11082025054411_WEB.xml"
"UMA","Uma Converter Limited","7(2)","NIRMALA LODHA","Promoters","Equity Shares","5651101","27.87",,"4000","98490","Buy","Equity Shares","5655101","27.89","07-Aug-2025","07-Aug-2025","09-Aug-2025","-","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185857_1508525_11082025054045_WEB.xml"
"NIBL","NRB Industrial Bearings Limited","7(2)","AARTI DEVESH SAHNEY","Promoters","Equity Shares","475211","1.96",,"19750","477950","Buy","Equity Shares","494961","2.04","08-Aug-2025","08-Aug-2025","11-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185855_1508497_11082025053101_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Bruno Schenk","Employees/Designated Employees","ADR/GDR/FCCB","25554","0",,"1800","419860","Sell","ADR/GDR/FCCB","23754","0","07-Aug-2025","07-Aug-2025","07-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","11-Aug-2025 17:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185851_1508478_11082025052328_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Bruno Schenk","Employees/Designated Employees","ADR/GDR/FCCB","Nil","0",,"25554","5960608","Buy","ADR/GDR/FCCB","25554","0","07-Aug-2025","07-Aug-2025","07-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","11-Aug-2025 17:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185851_1508478_11082025052328_WEB.xml"
"NIBL","NRB Industrial Bearings Limited","7(2)","AARTI DEVESH SAHNEY","Promoters","Equity Shares","466013","1.92",,"9198","210634","Buy","Equity Shares","475211","1.96","07-Aug-2025","07-Aug-2025","11-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185850_1508473_11082025052131_WEB.xml"
"AEGISLOG","Aegis Logistics Limited","7(2)","SUDHIR OMPRAKASH MALHOTRA","Key Managerial Personnel","Equity Shares","15629931","4.45",,"1400","990122","Buy","Equity Shares","15631331","4.45","11-Aug-2025","11-Aug-2025","11-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185849_1508465_11082025051832_WEB.xml"
"UMA","Uma Converter Limited","7(2)","SUMER RAJ LODHA","Promoters","Equity Shares","4046188","19.96",,"4000","98490","Buy","Equity Shares","4050188","19.98","07-Aug-2025","07-Aug-2025","09-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185845_1508441_11082025051145_WEB.xml"
"TREEHOUSE","Tree House Education & Accessories Limited","7(2)","Abhishek Bhatia","Promoter Group","Equity Shares","500000","1.18",,"166","1087","Buy","Equity Shares","500166","1.18","08-Aug-2025","08-Aug-2025","11-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 17:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185843_1508420_11082025050401_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Prashant Kisanlal Bhaiya HUF","Promoter Group","Equity Shares","427100","1.87",,"8000","1072000","Buy","Equity Shares","435100","1.9","11-Aug-2025","11-Aug-2025","11-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185842_1508405_11082025045816_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Pranav Nilesh Mohata","Promoter Group","Equity Shares","577500","2.53",,"36800","4931200","Buy","Equity Shares","614300","2.69","11-Aug-2025","11-Aug-2025","11-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185842_1508405_11082025045816_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Nilesh Suresh Mohata","Promoters","Equity Shares","3604470","15.77",,"35200","4716800","Buy","Equity Shares","3639670","15.92","11-Aug-2025","11-Aug-2025","11-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185842_1508405_11082025045816_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","DIGIDRIVE DISTRIBUTORS LTD","Promoter Group","Equity Shares","219793","1.19",,"680","284380","Buy","Equity Shares","220473","1.19","08-Aug-2025","08-Aug-2025","08-Aug-2025","Market Purchase","-","-","0","0","0","0","BSE","-","11-Aug-2025 16:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185840_1508372_11082025044006_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","DIGIDRIVE DISTRIBUTORS LTD","Promoter Group","Equity Shares","216801","1.17",,"2992","1251273","Buy","Equity Shares","219793","1.19","08-Aug-2025","08-Aug-2025","08-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185840_1508372_11082025044006_WEB.xml"
"MAHSEAMLES","Maharashtra Seamless Limited","7(2)","Odd & Even Trades & Finance Limited","Promoter Group","Equity Shares","23636500","17.64",,"5000","3373178","Buy","Equity Shares","23641500","17.64","05-Aug-2025","05-Aug-2025","07-Aug-2025","Market Purchase","-","-","0","0","0","0","BSE","-","11-Aug-2025 16:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185837_1508347_11082025042649_WEB.xml"
"MAHSEAMLES","Maharashtra Seamless Limited","7(2)","Odd & Even Trades & Finance Limited","Promoter Group","Equity Shares","23641500","17.64",,"70000","48651161","Buy","Equity Shares","23711500","17.7","05-Aug-2025","05-Aug-2025","07-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185837_1508347_11082025042649_WEB.xml"
"MAHSEAMLES","Maharashtra Seamless Limited","7(2)","Haryana Capfin Limited","Promoter Group","Equity Shares","6079080","4.54",,"25200","16914702","Buy","Equity Shares","6104280","-","05-Aug-2025","05-Aug-2025","07-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185837_1508347_11082025042649_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2126960","9.78",,"1000","394000","Buy","Equity Shares","2127960","9.79","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185834_1508325_11082025041411_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","663100","1.39",,"4749","19122619","Buy","Equity Shares","667849","1.4","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185832_1508320_11082025041004_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","672301","1.41",,"9201","35598357","Sell","Equity Shares","663100","1.39","06-Aug-2025","06-Aug-2025","07-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185832_1508320_11082025041004_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2126960","9.78",,"1000","398950","Buy","Equity Shares","2127960","9.79","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185831_1508318_11082025040936_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2126960","9.78",,"1000","396000","Buy","Equity Shares","2127960","9.79","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185831_1508318_11082025040936_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2126960","9.78",,"1000","396000","Buy","Equity Shares","2127960","9.79","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185831_1508318_11082025040936_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2126960","9.78",,"1000","394000","Buy","Equity Shares","2127960","9.79","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185831_1508318_11082025040936_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2126960","9.78",,"1000","393900","Buy","Equity Shares","2127960","9.79","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185831_1508318_11082025040936_WEB.xml"
"MONOLITH","Monolithisch India Limited","7(2)","PRABHAT TEKRIWAL","Promoters","Equity Shares","2126960","9.78",,"1000","396900","Buy","Equity Shares","2127960","9.79","-","-","-","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 16:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185831_1508318_11082025040936_WEB.xml"
"ALLETEC","All E Technologies Limited","7(2)","Mr. Ajay Mian","Promoters","Equity Shares","9947872","49.26",,"1600","474736","Buy","Equity Shares","9949472","49.27","11-Aug-2025","11-Aug-2025","11-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","11-Aug-2025 15:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185828_1508232_11082025030650_WEB.xml"
"ASAHISONG","Asahi Songwon Colors Limited","7(2)","GOKUL M JAYKRISHNA HUF","Promoters","Equity Shares","Nil","0",,"18714","5650689","Buy","Equity Shares","18714","0.16","08-Aug-2025","08-Aug-2025","09-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 14:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185827_1508209_11082025025717_WEB.xml"
"ARVIND","Arvind Limited","7(2)","Nigam Shah","Key Managerial Personnel","Equity Shares","37500","0.01",,"10000","100000","Buy","Equity Shares","47500","0.02","08-Aug-2025","08-Aug-2025","08-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","11-Aug-2025 13:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185824_1508177_11082025014753_WEB.xml"
"ARVIND","Arvind Limited","7(2)","VENKATESHA GARLA NAGARAJA BABU","Employees/Designated Employees","Equity Shares","25000","0",,"10000","100000","Buy","Equity Shares","35000","0.01","08-Aug-2025","08-Aug-2025","08-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","11-Aug-2025 13:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185824_1508177_11082025014753_WEB.xml"
"ARVIND","Arvind Limited","7(2)","KARAN OJHA","Employees/Designated Employees","Equity Shares","25900","0",,"10000","100000","Buy","Equity Shares","35900","0.01","08-Aug-2025","08-Aug-2025","08-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","11-Aug-2025 13:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185824_1508177_11082025014753_WEB.xml"
"ASAHIINDIA","Asahi India Glass Limited","7(2)","LANS Business LLP","Promoter Group","Equity Shares","25000","0.01",,"10000","8319000","Buy","Equity Shares","35000","0.01","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","11-Aug-2025 12:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185821_1508134_11082025123937_WEB.xml"
"TEJASCARGO","Tejas Cargo India Limited","7(2)","MANISH BINDAL","Promoters","Equity Shares","8889006","37.2",,"3200","852210","Buy","Equity Shares","8892206","37.22","07-Aug-2025","07-Aug-2025","08-Aug-2025","-","-","-","0","0","0","0","NSE","-","11-Aug-2025 10:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185819_1508061_11082025104907_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Satyanarayan Raju Bhupathiraju","Promoters","Equity Shares","425176","4.61",,"18724","637251","Sell","Equity Shares","406452","4.41","05-Aug-2025","05-Aug-2025","07-Aug-2025","Market Sale","-","-","0","0","0","0","BSE","-","09-Aug-2025 20:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185817_1507988_09082025083711_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","VENKATA RAMA  GADDAM","Promoters","Equity Shares","269736","2.93",,"9725","347878","Sell","Equity Shares","260011","2.82","05-Aug-2025","05-Aug-2025","07-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","09-Aug-2025 20:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185817_1507988_09082025083711_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Nilesh Suresh Mohata","Promoters","Equity Shares","3511670","15.36",,"92800","12435200","Buy","Equity Shares","3604470","15.77","07-Aug-2025","08-Aug-2025","09-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","09-Aug-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185815_1507874_09082025033543_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Prashant Kisanlal Bhaiya","Promoters","Equity Shares","2065560","9.04",,"3200","428800","Buy","Equity Shares","2068760","9.05","08-Aug-2025","08-Aug-2025","09-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","09-Aug-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185815_1507874_09082025033543_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Preeti Nilesh Mohata","Promoter Group","Equity Shares","156800","0.69",,"36800","4931200","Buy","Equity Shares","193600","0.85","07-Aug-2025","07-Aug-2025","09-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","09-Aug-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185815_1507874_09082025033543_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Tushar Ramesh Mohata","Promoters","Equity Shares","3863050","16.9",,"160000","21440000","Buy","Equity Shares","4023050","17.6","07-Aug-2025","08-Aug-2025","09-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","09-Aug-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185815_1507874_09082025033543_WEB.xml"
"RBS","Ramdevbaba Solvent Limited","7(2)","Prashant Kisanlal Bhaiya HUF","Promoter Group","Equity Shares","419100","1.83",,"8000","1072000","Buy","Equity Shares","427100","1.87","07-Aug-2025","07-Aug-2025","09-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","09-Aug-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185815_1507874_09082025033543_WEB.xml"
"SKMEGGPROD","SKM Egg Products Export (India) Limited","7(2)","SKM SHREE SHIVKUMAR","Key Managerial Personnel","Equity Shares","11787502","44.77",,"29800","9789562","Buy","Equity Shares","11817302","44.88","08-Aug-2025","08-Aug-2025","08-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","09-Aug-2025 09:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185813_1507804_09082025094657_WEB.xml"
"AVG","AVG Logistics Limited","7(2)","Apurva Chamaria","Director","Equity Shares","29994","0.2",,"15000","3710746","Buy","Equity Shares","44994","0.3","06-Aug-2025","08-Aug-2025","08-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","08-Aug-2025 19:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185811_1507495_08082025075935_WEB.xml"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","7(2)","Smitha  Upadhyaya","Employees/Designated Employees","Equity Shares","3314","0",,"3314","3463163","Sell","Equity Shares","Nil","0","07-Aug-2025","07-Aug-2025","07-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","08-Aug-2025 19:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185809_1507435_08082025074352_WEB.xml"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","7(2)","Smitha  Upadhyaya","Employees/Designated Employees","Equity Shares","4321","0",,"1007","1056343","Sell","Equity Shares","3314","0","07-Aug-2025","07-Aug-2025","07-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","08-Aug-2025 19:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185809_1507435_08082025074352_WEB.xml"
"INDOCO","Indoco Remedies Limited","7(2)","ROHAN ANUP RAMANI","Promoter Group","Equity Shares","7300","0.01",,"7300","2092618","Sell","Equity Shares","Nil","0","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","08-Aug-2025 19:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185807_1507348_08082025071036_WEB.xml"
"INDOCO","Indoco Remedies Limited","7(2)","MEGH MILIND PANANDIKAR","Promoter Group","Equity Shares","13000","0.01",,"13000","3796780","Sell","Equity Shares","Nil","0","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","08-Aug-2025 19:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185807_1507348_08082025071036_WEB.xml"
"INDOCO","Indoco Remedies Limited","7(2)","MAHIKA MILIND PANANDIKAR","Promoter Group","Equity Shares","7800","0.01",,"7800","2223780","Sell","Equity Shares","Nil","0","07-Aug-2025","07-Aug-2025","08-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","08-Aug-2025 19:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185807_1507348_08082025071036_WEB.xml"
"INDOCO","Indoco Remedies Limited","7(2)","MADHURA SURESH KARE","Promoters","Equity Shares","5239650","5.68",,"7300","2183284","Buy","Equity Shares","5246950","5.69","08-Aug-2025","08-Aug-2025","08-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","08-Aug-2025 19:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1185807_1507348_08082025071036_WEB.xml"
