SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
SAJHOTELS,,,,,Saj Hotels Limited,LA-TIM LIFE STYLE AND RESORTS LIMITE,2457200,Buy,,,N,SM,SAJ HOTELS LIMITED,72.7
SAKHTISUG,,,,,Sakthi Sugars Limited,ABT INVESTMENTS (INDIA) PRIVATE LIMITED,111750000,Pledge,,59.83,,,,
SAKHTISUG,,,,,Sakthi Sugars Limited,ABT INVESTMENTS (INDIA) PRIVATE LIMITED,92640000,Pledge,,59.83,,,,
SAKHTISUG,,,,,Sakthi Sugars Limited,ABT INVESTMENTS (INDIA) PRIVATE LIMITED,160465000,Pledge,,59.83,,,,
SALASAR,,,,,Salasar Techno Engineering Limited,ALOK KUMAR,27658890,Sell,,48.04,,,,
SALASAR,,,,,Salasar Techno Engineering Limited,BASE ENGINEERING LLP,28290050,Sell,,48.04,,,,
SALASAR,,,,,Salasar Techno Engineering Limited,SHIKHAR FABTECH PVT LTD,37804074,Sell,,48.04,,,,
SALASAR,,,,,Salasar Techno Engineering Limited,SHIKHAR FABTECH PVT LTD,11892000,Sell,,48.04,,,,
SALASAR,,,,,Salasar Techno Engineering Limited,ALOK KUMAR,25475000,Sell,,48.04,,,,
SALASAR,,,,,Salasar Techno Engineering Limited,BASE ENGINEERING LLP,12987000,Sell,,48.04,,,,
SALZERELEC,,,,,Salzer Electronics Limited,Ramaswamy Pappammal,10367585,Sell,,37.47,,,,
SALZERELEC,,,,,Salzer Electronics Limited,Samhita Rajesh,13500000,Buy,,37.47,,,,
SALZERELEC,,,,,Salzer Electronics Limited,Harshinii Rajesh,13500000,Buy,,37.47,,,,
SALZERELEC,,,,,Salzer Electronics Limited,Ramaswamy Pappammal,2700000,Sell,,37.47,,,,
SAMAY,,,,,,,,,,,N,SM,SAMAY PROJECT SERVICES L,34.6
SAMPANN,,,,,Sampann Utpadan India Limited,SACHIN AGARWAL,115260000,Buy,,40.66,,,,
SAMPANN,,,,,Sampann Utpadan India Limited,SACHIN AGARWAL,115260000,Buy,,40.66,,,,
